date,transactions,total_volume_sold_gallons,total_volume_sold_liters,total_revenue_sales,avg_revenue_sales,min_revenue_sales,max_revenue_sales
2012-09-17,8768,21601.520000000004,81769.310000000012,1133464.7200000002,129.27289233576656,1.74,15350.4
2012-09-18,10429,22501.849999999995,85175.48,1183565.6699999995,113.48793460542716,1.65,18261.6
2012-09-19,8743,17222.820000000011,65193.460000000006,872743.11000000045,99.821927256090646,1.5,32610.0
2012-09-20,9583,20353.260000000006,77036.359999999971,1115748.8499999996,116.43001669623294,1.5,13044.0
2012-09-21,11,30.01,113.75,920.51999999999987,83.683636363636353,18.0,404.7
2012-09-24,8557,19939.090000000007,75477.500000000015,1039466.7100000004,121.47560009349066,1.5,15676.8
2012-09-25,10317,21987.55000000001,83228.330000000075,1125510.8600000003,109.0928428806824,1.65,7995.0
2012-09-26,8873,21089.410000000011,79830.42,1023116.2499999995,115.30668883128592,1.46,25488.0
2012-09-27,9356,19580.27,74112.66,1046948.06,111.90124625908506,1.46,8910.0
2012-10-01,9129,24119.640000000003,91303.050000000032,1272966.4100000004,139.442042940081,1.46,15350.4
2012-10-02,11468,27682.55999999999,104785.15000000004,1512145.2399999995,131.85779909312868,2.3,56871.84
2012-10-03,9538,23456.890000000003,88790.95,1195072.1699999997,125.29588697840217,1.5,12528.0
2012-10-04,10360,26394.250000000004,99906.37999999999,1453418.4000000004,140.29135135135141,1.68,21870.0
2012-10-05,2559,42052.460000000021,159173.65,1954824.2299999993,763.90161391168454,7.76,50611.5
2012-10-08,9437,27521.129999999994,104176.81999999996,1436466.05,152.21638762318537,1.81,18484.2
2012-10-09,11456,28627.79,108362.12,1474293.7399999993,128.69184182960896,2.3,12186.0
2012-10-10,9451,24437.460000000003,92504.400000000038,1240659.2599999998,131.27280287800235,2.34,30630.96
2012-10-11,10102,26103.959999999992,98808.789999999979,1426089.8299999996,141.16905860225702,1.74,18522.48
2012-10-12,2422,31046.679999999989,117512.9,1632339.9800000007,673.96365813377361,6.13,17604.0
2012-10-15,9073,26117.440000000002,98862.77999999997,1408855.5500000003,155.28001212388406,1.65,15350.4
2012-10-16,10705,27975.579999999998,105892.76,1472465.4700000002,137.5493199439515,1.81,15222.0
2012-10-17,9715,28885.08,109338.48,1576441.3199999989,162.26879258878029,1.46,30444.0
2012-10-18,10048,25313.989999999987,95812.350000000064,1375042.2699999991,136.84735967356676,1.5,8802.0
2012-10-19,1826,36612.450000000012,138583.62000000005,1921336.2099999983,1052.2104107338444,3.75,70164.0
2012-10-22,9128,23446.650000000009,88754.820000000051,1225686.3000000003,134.27764022787036,1.46,23490.0
2012-10-23,10825,23836.329999999998,90224.02999999997,1214988.5099999995,112.23912332563512,0.0,9757.44
2012-10-24,9526,27901.569999999996,105617.45000000001,1471443.6299999994,154.46605395758976,2.3,26988.0
2012-10-25,10131,23365.14,88441.01,1270153.2999999998,125.3729444279932,1.5,8802.0
2012-10-26,1773,34738.170000000013,131489.89999999997,1846024.4199999995,1041.1869261139313,5.59,35082.0
2012-10-29,9103,23222.33,87904.860000000015,1204271.2700000003,132.29388882785892,1.65,15350.4
2012-10-30,10262,23041.71000000001,87215.420000000042,1197675.4399999997,116.70974858702006,1.68,17604.0
2012-10-31,9131,18317.540000000012,69339.239999999991,931294.92999999959,101.99265469280472,1.5,6355.8
2012-11-01,9550,18423.079999999994,69731.700000000026,1023250.7899999996,107.14667958115177,1.74,10350.0
2012-11-02,1,3.17,12.0,198.0,198.0,198.0,198.0
2012-11-05,9224,20123.17,76171.090000000011,1080014.8699999999,117.08747506504766,2.68,8976.0
2012-11-06,11088,22218.15,84099.01999999999,1170085.0299999996,105.52714917027417,1.79,6240.0
2012-11-07,9714,21012.180000000011,79536.020000000033,1092897.3899999994,112.507452130945,1.46,5923.8
2012-11-08,10258,22411.080000000009,84827.589999999967,1271036.67,123.90686976018715,1.74,9450.0
2012-11-12,9127,22657.609999999997,85764.419999999955,1202868.13,131.79227895255841,2.3,15350.4
2012-11-13,10443,21954.420000000009,83105.219999999972,1122437.7200000002,107.48230585080915,1.79,14172.0
2012-11-14,9515,20829.95,78847.080000000031,1088524.7799999993,114.40092275354698,1.5,10866.0
2012-11-15,10494,23445.04,88741.72000000003,1364467.0000000002,130.0235372593863,1.46,16744.2
2012-11-16,7004,16777.69000000001,63509.889999999978,856903.92,122.34493432324383,1.74,7611.0
2012-11-17,9741,20876.99,79022.549999999959,1080276.97,110.90000718612055,2.34,6117.6
2012-11-19,8000,18870.360000000022,71429.459999999992,1062086.3699999999,132.76079625,1.69,48929.4
2012-11-20,9445,19233.700000000015,72796.06,1087900.6599999997,115.18270619375332,1.5,11180.4
2012-11-21,542,836.42999999999984,3164.9799999999996,47406.080000000009,87.4650922509225,1.7,793.44
2012-11-26,10800,25810.970000000012,97697.370000000024,1439202.8299999998,133.2595212962963,2.27,22564.08
2012-11-27,12532,25613.410000000003,96951.75,1440212.3199999994,114.9227832748165,2.34,15030.6
2012-11-28,10352,20084.45,76023.419999999969,1075135.3399999996,103.8577414992272,1.46,11963.52
2012-11-29,10785,22537.689999999988,85304.920000000013,1273610.0500000005,118.09087158089939,1.5,8096.4
2012-12-03,9520,26275.260000000017,99461.81,1487537.79,156.25396953781507,2.34,254100.0
2012-12-04,11159,22566.840000000011,85416.469999999972,1190413.459999999,106.67743166950441,2.34,7611.0
2012-12-05,9631,19144.360000000008,72466.150000000009,1017236.9099999998,105.6211099574291,1.46,8499.6
2012-12-06,10116,21862.77,82749.229999999967,1270931.9600000004,125.63582048240417,2.27,13494.0
2012-12-10,9988,27821.170000000006,105308.90999999993,1528430.6499999987,153.02669703644386,1.69,25410.0
2012-12-11,11613,28473.379999999997,107777.39000000007,1559674.0999999994,134.30415052096782,1.79,20925.0
2012-12-12,10189,31341.299999999992,118635.34999999998,1745332.6100000008,171.29577092943373,1.5,28459.2
2012-12-13,10593,24749.119999999988,93673.89,1536578.92,145.056067214198,1.5,116094.0
2012-12-14,20,31.499999999999993,119.25,1912.8400000000004,95.641999999999967,15.18,472.32
2012-12-17,11338,28310.679999999986,107161.60000000008,1696519.5899999994,149.63129211501146,1.5,49920.42
2012-12-18,14442,30344.789999999975,114857.98000000001,1660066.1999999995,114.94711258828417,1.69,15246.0
2012-12-19,12521,27527.899999999991,104192.64999999998,1528877.3199999989,122.10504911748261,1.46,15660.0
2012-12-20,12420,27059.849999999977,102420.64999999997,1552564.6300000001,125.00520370370369,1.46,11180.4
2012-12-21,8517,21383.680000000004,80943.279999999955,1217195.7,142.91366678407886,4.59,41940.0
2012-12-24,14432,29940.229999999989,113324.30000000002,1634365.6799999997,113.24595898004438,1.46,11020.8
2012-12-26,12319,23082.89,87370.250000000044,1266270.9199999997,102.79007386963222,1.46,5100.0
2012-12-27,13266,27297.840000000015,103320.74000000002,1602321.5900000003,120.7840788481833,2.6,11760.0
2012-12-28,10716,24011.199999999993,90888.449999999983,1360166.76,126.92858902575585,1.5,19440.0
2012-12-31,10883,21879.570000000018,82815.810000000027,1208182.0,111.01552880639532,1.79,25410.0
2013-01-02,9177,15674.460000000005,59326.580000000053,826293.71999999986,90.039633867276891,1.5,9720.0
2013-01-03,9763,20466.500000000011,77461.080000000031,1145793.1500000001,117.36076513366793,1.74,15676.8
2013-01-07,10052,21802.110000000004,82527.540000000023,1139529.56,113.36346597691997,1.69,8461.8
2013-01-08,10634,20309.140000000003,76871.020000000062,1042754.61,98.0585489937935,1.46,6420.0
